Complexity,Loss,Equation
1,0.0066127395,"1.9973807e-8"
3,0.0025949457,"(-0.5949509 * x2)"
5,0.0010617353,"((x0 * 0.0006831319) - x2)"
7,0.00095756585,"(((x0 * 0.0006831319) - x2) * 0.91214913)"
9,0.00094743766,"((((x2 - x0) * -0.00067541964) - x2) * 0.8747966)"
11,0.0009465371,"((((x2 - x0) * -0.00067541964) - (x2 + x1)) * 0.8747966)"
13,0.00094653125,"((((x2 - x0) * -0.00067541964) - (x2 + x1)) * (0.8747966 + x1))"
15,0.0009465182,"((((((x2 * x2) * -1.7057174) - x0) * -0.00067541964) - (x2 + x1)) * 0.8747966)"
17,0.0009463132,"(((((((x2 * x2) * x2) * -1.7057174) - x0) * -0.00067541964) - (x2 + x1)) * 0.8747966)"
19,0.0009462498,"((((((((x2 * x2) * x2) * -1.7057174) * 1.2797537) - x0) * -0.00067541964) - (x2 + x1)) * 0.8747966)"
