Complexity,Loss,Equation
1,0.0066127395,"-4.762082e-8"
3,0.0025949455,"(x2 * -0.59495676)"
5,0.0010617352,"((x0 * 0.00068311655) - x2)"
7,0.0009474375,"(((x0 * 0.00067497493) - x2) * 0.875397)"
9,0.0009465366,"((((0.00067524344 * x0) - x1) - x2) * 0.87555194)"
11,0.000946531,"(((x0 * 0.0006750276) - (x2 + x1)) * (0.87546146 + x1))"
13,0.0009465234,"(((((x0 + (x2 * x2)) * 0.00067497697) - x1) - x2) * 0.87540704)"
15,0.00094430445,"((0.11051428 * ((0.0050681117 * x0) + (((x2 * x2) - -0.80168074) * x2))) - x2)"
17,0.0009304278,"((0.11051428 * ((0.0050681117 * x0) + (((x2 * x2) - -0.80168074) * (1.2775145 * x2)))) - x2)"
19,0.000928043,"((0.11051428 * ((0.0050681117 * x0) + (x2 - ((x2 * ((x2 + x2) * -0.8856356)) * x2)))) - x2)"
